,id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,job_satisfaction_rate
0,155278,sales,junior,medium,2,no,no,1,24000,0.58
1,653870,hr,junior,high,2,no,no,5,38400,0.76
2,184592,sales,junior,low,1,no,no,2,12000,0.11
3,171431,technology,junior,low,4,no,no,2,18000,0.37
4,693419,hr,junior,medium,1,no,no,3,22800,0.2
5,405448,hr,middle,low,7,no,no,4,30000,0.78
6,857135,sales,senior,medium,9,no,no,3,56400,0.56
7,400657,purchasing,middle,high,9,no,no,3,52800,0.44
8,198846,hr,junior,low,1,no,no,2,13200,0.14
9,149797,technology,middle,high,6,no,no,3,54000,0.47
10,964158,purchasing,junior,low,2,no,no,4,13200,0.74
11,784541,sales,middle,low,3,no,no,4,19200,0.42
12,569960,sales,middle,medium,3,no,no,3,38400,0.32
13,381081,marketing,junior,high,2,no,no,2,40800,0.57
14,581188,marketing,middle,medium,4,no,no,2,34800,0.16
15,798010,technology,junior,medium,3,no,no,4,27600,0.69
16,861046,hr,junior,medium,1,no,no,3,26400,0.33
17,955615,purchasing,junior,high,2,no,no,5,33600,0.64
18,848242,sales,middle,high,2,yes,no,1,50400,0.39
19,732462,sales,junior,low,2,no,yes,4,15600,0.74
20,311555,technology,junior,medium,2,no,no,2,30000,0.39
21,887667,sales,senior,medium,10,no,no,4,52800,0.8
22,926848,marketing,junior,low,1,no,no,5,18000,0.79
23,983772,marketing,junior,medium,1,no,no,3,26400,0.17
24,930592,hr,junior,low,2,no,no,4,13200,0.65
25,262343,marketing,middle,high,8,no,no,4,56400,0.64
26,806861,sales,junior,low,1,no,yes,3,15600,0.18
27,418046,sales,junior,low,1,no,no,2,14400,0.19
28,411077,purchasing,junior,medium,2,no,yes,3,24000,0.14
29,235316,hr,middle,low,4,no,yes,4,25200,0.49
30,106754,hr,junior,medium,2,no,no,4,24000,0.63
31,805266,sales,junior,low,3,no,no,4,15600,0.78
32,176144,hr,senior,high,3,no,no,1,72000,0.22
33,254431,marketing,middle,low,3,no,no,4,31200,0.65
34,385514,sales,middle,medium,8,no,yes,2,32400,0.23
35,165722,hr,senior,medium,1,no,no,4,48000,0.5
36,966840,purchasing,junior,low,2,no,no,3,12000,0.35
37,162817,sales,middle,medium,4,no,no,4,33600,0.49
38,581466,sales,middle,medium,5,no,no,4,43200,0.8
39,120057,technology,junior,low,1,no,no,4,19200,0.63
40,377249,sales,middle,high,3,yes,no,2,46800,0.3
41,325079,purchasing,middle,high,8,no,no,4,54000,0.77
42,952853,hr,middle,low,7,no,no,3,19200,0.58
43,166511,technology,junior,low,2,no,no,4,19200,0.88
44,970445,marketing,middle,high,2,no,no,5,58800,0.59
