,id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,quit
0,723290,sales,middle,high,2,no,no,4,54000,no
1,814010,sales,junior,medium,2,no,no,4,27600,no
2,155091,purchasing,middle,medium,5,no,no,1,37200,no
3,257132,sales,junior,medium,2,no,yes,3,24000,yes
4,910140,marketing,junior,medium,2,no,no,5,25200,no
5,699916,sales,junior,low,1,no,yes,3,18000,yes
6,417070,technology,middle,medium,8,no,no,2,44400,no
7,165489,sales,middle,low,4,no,no,5,19200,no
8,996399,marketing,middle,low,7,no,no,4,25200,no
9,613206,technology,middle,medium,2,no,no,3,45600,yes
10,832644,sales,middle,high,3,no,no,4,57600,no
11,260997,sales,middle,medium,5,no,no,3,33600,no
12,114153,marketing,junior,low,3,no,no,4,16800,no
13,672533,marketing,middle,medium,3,yes,yes,1,44400,no
14,453936,purchasing,junior,medium,2,no,no,4,22800,no
15,741016,technology,junior,medium,1,no,no,4,26400,no
16,113657,technology,senior,high,5,yes,no,3,82800,no
17,458930,sales,middle,low,5,no,no,4,24000,no
18,999835,sales,junior,low,5,no,no,4,18000,no
19,120366,hr,middle,low,9,no,no,4,25200,no
20,212818,technology,junior,medium,4,no,no,5,32400,no
21,370070,sales,junior,medium,2,no,no,5,25200,no
22,136510,purchasing,middle,medium,5,no,no,4,39600,no
23,734272,sales,senior,low,4,no,no,4,39600,no
24,468145,technology,junior,medium,2,no,no,3,30000,yes
25,982346,marketing,junior,medium,3,no,no,3,30000,yes
26,684985,sales,middle,high,6,no,no,4,54000,no
27,425551,technology,middle,medium,2,no,no,5,46800,no
28,157780,sales,junior,low,3,no,no,4,12000,yes
29,352301,purchasing,middle,low,6,no,no,4,19200,no
30,540948,technology,junior,low,1,no,no,4,15600,yes
31,126017,purchasing,middle,high,7,no,no,3,54000,no
32,124062,purchasing,senior,medium,5,no,no,3,58800,no
33,534129,sales,middle,low,5,no,no,2,18000,no
34,470140,technology,middle,high,4,no,no,3,60000,no
35,529797,sales,senior,high,7,no,no,5,66000,no
36,441369,sales,junior,medium,3,no,no,5,25200,no
37,256758,sales,junior,low,1,no,no,5,12000,yes
38,516159,sales,junior,medium,1,no,no,3,27600,yes
39,411906,technology,junior,low,2,no,yes,4,22800,yes
40,762239,sales,junior,medium,1,no,no,3,21600,yes
41,356296,sales,middle,medium,5,no,no,4,38400,no
42,509330,sales,junior,medium,2,no,no,4,24000,no
43,894283,marketing,junior,medium,1,no,no,4,24000,no
44,539953,sales,junior,low,1,no,no,4,18000,yes
45,366316,purchasing,senior,medium,8,no,no,5,62400,no
46,672430,purchasing,middle,low,5,no,yes,3,24000,no
47,336110,sales,middle,medium,10,no,yes,3,37200,no
